product_id,category,brand,title,description,price
312063,Books|Literature &amp; Fiction|Humor &amp; Satire,Visit Amazon's C. L. Bevill Page,Bubba and the 12 Deadly Days of Christmas: A Bubba Mystery,,10.88
312126,Books|Children's Books|Science Fiction &amp; Fantasy,Visit Amazon's Megan Thomason Page,daynight (Volume 1),"<span>""The writing is impressive and the story is a real page-turner. So many twists and turns... I'm hooked... I can't wait for the next installment to come out...4.5 out of 5 stars""</span><i>--Self-Publishing Review</i><br /><i></i><br /><i>""</i><span>The plot was finely done. It was steady, tidy, and pretty much perfect. I have a feeling this will be one of my favorite 2013 reads, and can't recommend it enough.""--</span><i>Lust for Stories</i><span>blog, 5 stars</span><br /><br /><span>""SHE WRITES LIKE THERE'S NO TOMORROW... romance in a dystopia setting written wonderfully in a well-paced,</span><b>mindblowing</b><span>story.""--</span><i>Sab The Book Eater</i><span>blog, 5 stars</span>",12.99
312146,Books|Teen &amp; Young Adult|Science Fiction &amp; Fantasy,Visit Amazon's Anna Kyss Page,Wings of Shadow: The Underground Trilogy,,9.99
312151,Books|History|Europe,Visit Amazon's Andrew Lang Page,A Short History of Scotland,"Andrew Lang (31 March 1844  20 July 1912) was a Scots poet, novelist, literary critic, and contributor to the field of anthropology. He is best known as a collector of folk and fairy tales. The Andrew Lang lectures at the University of St Andrews are named after him.",5.85
312197,Books|Romance|Contemporary,Visit Amazon's Pamela Ann Page,Chasing Beautiful (Chasing Series Book),,9.99
312200,Books|Teen &amp; Young Adult|Science Fiction &amp; Fantasy,Visit Amazon's E.R. Arroyo Page,Sovereign (Antius Ascending) (Volume 1),"E.R. Arroyo is the author of YA dystopian series, Antius Ascending, and co-founder/owner of Band of Dystopian Authors and Fans, a Facebook community, blog, and company that champions dystopian, apocalyptic, and post-apocalyptic fiction. E.R. is passionate about books, music, and her family, and she loves to talk shop with other authors and with her readers.",11.13
312242,"Books|Crafts, Hobbies &amp; Home|Sustainable Living",Visit Amazon's Susan Gregersen Page,Poverty Prepping: How to Stock Up for Tomorrow When You Can't Afford to Eat Today,"Susan Gregersen lives with her husband in an off-grid, solar-powered log cabin in Montana. When she's not working in the garden or canning and dehydrating the harvest, she likes to go bicycling, kayaking, and hiking. With her children grown and on their own she began to write survival and disaster fiction books. Friends and neighbors asked questions about food storage and preparedness, but often followed that with ""But I don't have the money to get started"". Undaunted, she outlined a plan that almost anyone could afford to follow, and expanded it into this book. She maintains a blog for the book to answer further questions from readers at: http://www.povertyprepping.blogspot.com",5.99
312252,Books|Teen & Young Adult|Romance,Visit Amazon's Quinn Loftis Page,Out of the Dark (Grey Wolves),"Quinn is a 32 year old wife, mother, nurse, and writer, not necessarily in that order. She lives in beautiful North West Arkansas with her husband, son and Nora their Doberman pinscher. She loves writing, reading, and crocheting. Her favourite holiday is Christmas, favourite book(s) is Pride and Prejudice, The Alpha and Omega Series by Patricia Briggs, and the Harry Potter Series by J.K. Rowling. She loves to be silly and have fun, loves music and thinks there is no greater sound in the world than that of her little boy's laughter.",12.95
312262,Books|Romance|Historical,Visit Amazon's Shanna Hatfield Page,The Christmas Bargain (A Victorian Holiday Romance),"<i><b>Hardman Holidays Series</b></i><br /><br />Set in the town of Hardman, Oregon in the 1880s, this series offers a clean, romantic peek into holiday celebrations of the Victorian era.<br /><br />Although Hardman is a ghost town today, during the late 1800s, it was a thriving town with a variety of businesses, including a skating rink and newspaper office.<br /><br />Enjoy a holiday journey back in time with the Hardman Holiday series.<br /><br />The books, in order:<br />",11.99
312277,Books|Romance|Historical,Visit Amazon's Terry Spear Page,Highland Rake (Volume 3),"About the Author USA Today bestselling and an award-winning author of urban fantasy and medieval romantic suspense, Terry Spear also writes true stories for adult and young adult audiences. She's a retired lieutenant colonel in the U.S. Army Reserves and has an MBA from Monmouth University. She also creates award-winning teddy bears, Wilde & Woolly Bears, that are personalized that have found homes all over the world. When she's not writing or making bears, she's teaching online writing courses or gardening. Her family has roots in the Highlands of Scotland where her love of all things Scottish came into being. Originally from California, she's lived in eight states and now resides in the heart of Texas. She is the author of the Heart of the Wolf series and the Heart of the Jaguar series, plus numerous other paranormal romance and historical romance novels. For more information, please visit www.terryspear.com, or follow her on Twitter, @TerrySpear. She is also on Facebook at http://www.facebook.com/terry.spear .",14.99
312339,Books|Romance|Contemporary,Visit Amazon's Lynda LeeAnne Page,"Lexi, baby",,9.99
312344,Books|Literature &amp; Fiction|Action &amp; Adventure,Visit Amazon's Russell Blake Page,Zero Sum (Dr. Steven Cross Series #1),,13.99
312419,Books|Romance|Western,Visit Amazon's Cheyenne McCray Page,Branded for You: Riding Tall,\N,12.99
312749,Books|Christian Books & Bibles|Literature & Fiction,Visit Amazon's Brenda Coulter Page,Her Minnesota Man,\N,12.99
312829,Books|Teen &amp; Young Adult|Literature &amp; Fiction,Visit Amazon's Tiffany King Page,Miss Me Not,"""Five beautiful stars for Miss Me Not.""-<b><i>USA Today Bestselling Author, Tara Sivec</i></b><br /><br />""Well worth reading! While the subject matter is intense, it isn't in any way graphic, and is suitable for teen audiences (I wouldn't have any problem with my daughter reading this).""-<b><i>Bestselling Author, Charles Sheehan-Miles-Just Remember to Breathe, A Song for Julia.</i></b>",11.99
312851,Books|Romance|Contemporary,Visit Amazon's Kathleen Brooks Page,Secret Santa: A Bluegrass Series Novella,"<div><div>Kathleen Brooks is a New York Times, Wall Street Journal, and USA Today bestselling author. Kathleen writes contemporary romance, romantic suspense, and mysteries featuring strong female heroines, humor, and happily-ever-afters. Her Bluegrass Series and follow-up Bluegrass Brothers, Bluegrass Singles and Forever Bluegrass Series feature small town charm with fun quirky characters that have captured the hearts of readers around the world while her Women of Power Series show that behind every powerful woman is a man strong enough to love her.&#xA0;<br />&#xA0;<br />Kathleen is an animal lover who supports rescue organizations and other non-profit organizations, such as Friends and Vets Helping Pets, whose goals are to protect and save our four-legged family members.<br />&#xA0;<br />She loves to hear from readers and can be reachedat Kathleen@Kathleen-Brooks.com.<br />&#xA0;<br />&#xA0;<br /><b>Bluegrass Series</b><br />Bluegrass State of Mind<br />Risky Shot<br />Dead Heat<br />&#xA0;<br />&#xA0;<br /><b>Bluegrass Brothers Series</b><br />Bluegrass Undercover<br />Rising Storm<br />Secret Santa<br />Acquiring Trouble<br />Relentless Pursuit<br />Secrets Collide<br />Final Vow<br />&#xA0;<br />&#xA0;<br /><b>Bluegrass Singles</b><br />All Hung Up<br />Bluegrass Dawn<br />The Perfect Gift<br />The Keeneston Roses<br />&#xA0;<br />&#xA0;<br /><b>Forever Bluegrass</b><br />Forever Entangled&#xA0;<br />Forever Hidden<br />Forever Betrayed<br />Forever Driven<br />&#xA0;<br />&#xA0;<br /><b>Women of Power</b><br />Chosen for Power<br />Built for Power<br />Fashioned for Power<br />Destined for Power</div><div></div><div><div></div><div></div>Email Notice of New Releases: kathleen-brooks.com/new-release-notifications/<br />Kathleen&apos;s Website: kathleen-brooks.com<br />Facebook Page: facebook.com/KathleenBrooksAuthor<br />Twitter: twitter.com/BluegrassBrooks<br />Goodreads: goodreads.com/author/show/5101707.Kathleen_Brooks</div></div>",6.99
312855,Books|Science Fiction & Fantasy|Science Fiction,Visit Amazon's Stephanie Erickson Page,The Blackout,\N,9.99
312892,Books|Romance|Contemporary,Visit Amazon's Kendall Ryan Page,Hard to Love,\N,9.99
312940,Books|Science Fiction & Fantasy|Science Fiction,Visit Amazon's Hugh Howey Page,Second Shift - Order (Part 7 of the Silo Series) (Wool) (Volume 7),\N,9.95
312954,Books|Science Fiction & Fantasy|Fantasy,Visit Amazon's Jason Tesar Page,Hands To Make War: The Awakened Book Three,"<span>Jason Tesar lives with his wife and two children in Colorado. Before jumping into the unknown of being an independentauthor/publisher, he used to work in the microelectronics industry improving<span>anddeveloping</span> processes, and writing technical documentation for integratedcircuitsmanufacturing. In his rapidlyshrinkingpersonal time he enjoys graphic design, playing guitar, readingbooks, watching movies, and doing anything outdoors with his family. To learn more about Jason and getbehind-the-scenes info on<i>The Awakened</i>and<i>Wandering Stars</i>series,</span>visit his blog (jasontesar.com), like him on Facebook (search for jasontesar.com), follow him on Twitter (@jasontesar), become a fan on Goodreads (Jason Tesar), add him to your circles on Google+ (Jason Tesar), and send him an email <span>atjasontesar</span><span>(</span>at<span>)</span>yahoo<span>(</span>dot<span>)</span>com.",12.95
312979,Books|Science Fiction & Fantasy|Fantasy,Visit Amazon's Alaina Stanford Page,When Magic Fails (Hypnotic Journey),"I've been writing books since I was a child. I've had an overactive imagination since I can remember and found the best way to lull myself to sleep at night was to lay and think of new endings to my favorite movies or better yet take a minor character from a movie or book and create a story around them. I've always loved science fiction, one of my first memories of watching TV was of a young Captain Kirk in some kind of trouble. It wasn't easy being an expert trekkie in high school. But once I discovered Ray Bradbury the sky was the limit. I moved on to fantasy with great authors like Tolkien, Terry Brooks and RA Salvatore. Eventually it occurred to me to start putting my stories in writing. I am constantly amazed at how my stories seem to write themselves. I write like most people read. Once a story is done, I am lost until I begin another. I currently live in a small town at the base of the beautiful mountains in Utah. I couldn't ask for a more inspiring venue. My website is alainastanford.intuitwebsites.com come and visit me!",5.99
312986,"Books|Health, Fitness & Dieting|Diets & Weight Loss",Visit Amazon's Drew Canole Page,Train Your Taste To Trim Your Waist: A Simple Method To Love The Food That Loves You Back,"Drew Canole is a Nutrition Specialist, Transformation Specialist and national spokesperson for the benefits of juicing vegetables for health and vitality. He is the founder of Fitlife.TV where he shares ""Educational, Inspirational and Entertaining"" videos and articles about health, fitness, healing and longevity. Drew Canole's transformation clients include celebrities, entrepreneurs, CEO's, authors and personal development gurus. The success of his first book on Juicing Recipes vaulted him to national attention as a first time author and has garned media and television attention in the form of book deals, TV talk show hosting and national endorsements from some of the leading national companies focused on health, wellness and athletics.",9.99
313064,Books|Science Fiction & Fantasy|Science Fiction,Visit Amazon's Jena Leigh Page,"Revival (The Variant Series, Book 1)","<span>Jena Leigh is the author of the Variant Series novels REVIVAL, RESISTANCE, and REDUX. She&apos;s currently hard at work on the fourth novel in the series, scheduled for release in 2016. Born and raised in the lightning capital of North America, she eventually made her home in the Smoky Mountains of Western North Carolina. A shameless geek, she loves coffee, loud music, bad sci-fi movies, Skittles, and shenanigan-filled road trips to faraway concerts.</span><br /><span></span><br /><span>To find out more about The Variant Series and author Jena Leigh, visit her online at jenaleighbooks.com or @jenaleighbooks.</span>",9.95
313071,Books|Literature & Fiction|Genre Fiction,Visit Amazon's Colin Gee Page,Stalemate: The Third book in the Red Gambit Series,\N,19.99
313094,Books|Romance|Historical,Visit Amazon's Joan Kayse Page,The Patrician (The Patricain Series) (Volume 1),"Joan Kayse believes love spans every historical era. She crafts stories that transport readers to the vibrant times of the Roman Empire and magical realms. She lives in Louisville, Kentucky where she shares her home and keyboard with two baby cats, Cricket Marie and Grayson the Monkey Cat.",14.25
313095,Books|Science Fiction & Fantasy|Science Fiction,Travis A Mohrman,Down The Path,"Travis lives in High Ridge, Missouri and works as a botanist. When not at work, he is usually brewing hoppy beer or doing something else outside with his two hound dogs and wife.",9.99
313098,"Books|Children's Books|Fairy Tales, Folk Tales & Myths",Visit Amazon's Pat Hatt Page,The Honk of Zagonk,\N,9.99
313115,Books|Romance|Contemporary,Visit Amazon's Chelsea M. Cameron Page,Deeper We Fall,"Chelsea M. Cameron is a New York Times and USA Today best selling NA/YA writer from Maine. Lover of things random and ridiculous, Jane Austen/Charlotte and Emily Bronte Fangirl, red velvet cake enthusiast, obsessive tea drinker, vegetarian, former cheerleader and world's worst video gamer. When not writing, she enjoys watching infomercials, singing in the car and tweeting. She has a degree in journalism from the University of Maine, Orono that she promptly abandoned to write about the people in her own head. More often than not, these people turn out to be just as weird as she is.  She is the author of five books, including Nocturnal, Nightmare and Neither, the first three books in The Noctalis Chronicles, Whisper, the first book in the Whisper Trilogy, My Favorite Mistake and Deeper We Fall.  For more updates, follow her blog at chelseamcameron.com, on twitter: @chel_c_cam, or on Facebook.",15.99
313145,Books|Literature & Fiction|Women's Fiction,Visit Amazon's C. Michelle McCarty Page,The Jewel Box,"In this debut novel, a Texas woman reminisces about her past loves.<br /><br />In 2003, an old friend drops by while Cherie, the owner of an antiques shop in Galveston, Texas, waits for a delivery. When the mahogany bar from the Jewel Box finally arrives at the shop, it triggers an extended flashback that consumes the bulk of the narrative. Liberal use of references to current events and pop culture keeps the book firmly tethered to the time period, and most secondary characters, particularly Cherie&rsquo;s daughter and Gabe&rsquo;s mother, feel fully developed.&nbsp; Although scenes at the club are usually vivid, later pages contain some delightful gems: &ldquo;I loved doing his laundry and folded his socks and underwear as though they were the shroud of Turin.&rdquo; The story contains some crude language but, given its early topless-club setting, surprisingly few extended sex scenes. Nonetheless, the neatly done happily-ever-after ending should satisfy romance readers.<br /><br />Melodramatic romance that rewards readers in for the long haul.<br />",12.99
313180,"Books|Mystery, Thriller & Suspense|Thrillers & Suspense",Visit Amazon's Dennis Carstens Page,The Key To Justice,The author is a divorced father of two and proud grandfather of five (we always seem to be more taken with grandchildren than with our own children). He lives in the Twin Cities as he has for his entire life except for a tour with the U.S. Air Force. He has a BA from the University of Minnesota and a JD from William Mitchell College of Law in St Paul. He practiced law for almost twenty years as a general practitioner so he has a lot of experience at what the reality of trying to make a living as a lawyer is really like.,15.99
313189,Books|Literature & Fiction|Genre Fiction,Lawrence W. Gold M.D.,Rage: A Forensic Mystery and Suspense Thriller,"I was born in the Bensonhurst section of Brooklyn, moved to Queens, and then, as New Yorkers say, we ascended to the Island. After graduating from Valley Stream Central High School, I went to Adelphi, a college then, a university now, and then to medical school in Chicago. The war in Vietnam interrupted my postgraduate training with a year in Colorado Springs and another as a Battalion Surgeon in Vietnam. I spent seven months in the Central Highlands with the 4th Infantry and five months in an evacuation hospital in Long Binh outside Saigon where I ran the emergency room. I returned intact in 1968 to complete my training in internal medicine and diseases of the kidney, nephrology. I worked for twenty-three years in Berkeley, California in a hospital-based practice caring for patients with complicated illnesses often in ICU and served as Chief of Medicine. My wife Dorlis and I retired in October 1995 and sailed under the Golden Gate Bridge for a life at sea in Mexico, Central America, and the Caribbean. Four years later, exhausted from repairing everything on board, (often many times) we sold the sailboat and within a year took the lazy man's out; we bought a Nordic Tug, a trawler. We motored around Florida, the Bahamas, the entire East Coast and completed two 'Circle trips' to Canada and back, eight months, the first time, five months, the second. I wrote professionally as a physician to inform but rarely to entertain, at least not on purpose. My first novel, First, Do No Harm was published in 2007.To this date, Ive published eleven novels in the Brier Hospital Series (all may be read independently), four novels in general medical fiction, and one non-fiction book. Reviews have been gratifying.",15.99
313235,Books|Science Fiction & Fantasy|Fantasy,Visit Amazon's David Dalglish Page,"The Prison of Angels: The Half-Orcs, Book 6",\N,12.99
313243,Books|Literature & Fiction|Erotica,Visit Amazon's Kallypso Masters Page,Nobody's Hero (Rescue Me Saga) (Volume 2),"USA Today bestseller author Kallypso Masters writes emotional, realistic Romance novels with an emphasis on healing using sometimes unconventional methods. Her alpha males are dominant and attracted to strong women who can bring them to their knees. Kally also has brought many readers to their kneeshaving them experience the stories along with her characters in the Rescue Me Saga. Kally knows that Happily Ever After takes maintenance, so her couples dont solve all their problems and disappear at the end of their novel, but will continue to work on real problems in their relationships in later books in the Saga. Kally has been writing full-time since May 2011. She lives in rural Kentucky and has been married almost 32 years to the man who provided her own Happily Ever After. They have two adult children, one adorable grandson, and a rescued dog and cat. Kally enjoys meeting readers. Check out the Appearances page on her web site (kallypsomasters.com/appearances) to see if shell be near you! To contact or interact with Kally, go to Facebook, her Facebook Author page, Twitter (@kallypsomasters), or her Web site (KallypsoMasters.com). To join the secret Facebook group Rescue Me Saga Discussion Group, please send a friend request to ""Karla Paxton"" (https://www.facebook.com/profile.php?id=100004338888051) and she will open the door for you. (Please give her a few days!) Must be 18 to join. For more timely updates and a chance to win great prizes, get sneak peeks at unedited excerpts, and more, sign up for her newsletter (sent out via e-mail) and/or for text alerts (used ONLY for new releases of e-books or print books) at her Web site (http://kallypsomasters.com). And feel free to e-mail her at kallypsomasters@gmail.com, or write to her at Kallypso Masters PO Box 1183 Richmond, KY 40476-1183",13.79
313248,"Books|Reference|Writing, Research & Publishing Guides",Visit Amazon's Tony James Slater Page,That Bear Ate My Pants! Adventures of a Real Idiot Abroad,"<div></div><div><div><span>""I laughed all through the book until the end, where I became sad to have to say goodbye. I enjoyed myself that much."" - Night Owl Reviews<br><br>""The narrative in That Bear Ate My Pants was not only well-written and entertaining but downright hilarious.I have not laughed so hard while reading in quite a while. And when I mean laugh, I mean I laughed so hard I was screaming. Warning, do not read this book while on the toilet."" - Indie Eclective</span></div></div>",14.99
313300,Books|Children's Books|Growing Up & Facts of Life,Visit Amazon's Giselle Shardlow Page,Luke's Beach Day: A Fun and Educational Kids Yoga Story (Kids Yoga Stories),"<b>What people say about this beach yoga book for kids:</b><br /><b></b><br />* Storytelling at its best--highly recommended!<br />* Another fun book from Kids Yoga Stories!<br />* A fun yogic day at the beach . . . wherever you are!<br />* Giselle&apos;s yoga stories are all beautifully written and illustrated.<br />* Highly engaging and lots of fun!<br />* A winner with teachers!<br />* A magical combination of fun, relaxation and education.<br />* The beach and yoga--combining two favorites into one great book!<br />* Wonderful creative way to get kids interested in yoga!<br />* GREAT book for Kids Yoga Class and for your favorite little yogi in your life!",10.45
313312,Books|Literature & Fiction|United States,Visit Amazon's Chanel Jones Page,Rap Star,\N,12.99
313331,Books|Literature & Fiction|Genre Fiction,Visit Amazon's Tony Miller Page,I'll See You In Your Dreams,"Tony Miller is a freelance writer, poet and internationally known hairstylist. He lives in Fresno, California with his wife. He has a passion for research, history and writing. His current venture is into quantum physics and its correlation to spirituality. It has inspired him to create his story, ""I'll See You In Your Dreams."" He is currently working on the sequel, ""Dream Sleuth.""",15.99
313344,Books|Literature & Fiction|Genre Fiction,Visit Amazon's Chris Ward Page,The Man Who Built the World,"Chris Ward is a native of Cornwall, England, but currently lives and works in Nagano, Japan. He is the author of The Tube Riders, The Man Who Built the World, and the forthcoming Head of Words. He spends his time, snowboarding, writing, playing guitar in his rock band, Steampunk Unicorn (find us on youtube!), and generally having too much to say about just about everything. Thank you for stopping by. Like Chris Ward (Fiction Writer) on Facebook for regular updates, or follow Chris on Twitter at ChrisWardWriter.",15.99
313388,"Books|Mystery, Thriller & Suspense|Mystery",Visit Amazon's Dolores Stewart Riccio Page,The Divine Circle of Ladies Digging the Dirt: The 9th Cass Shipton Adventure (The Cass Shipton Adventures) (Volume 9),\N,14.25
313392,Books|Literature & Fiction|Genre Fiction,Visit Amazon's Eric Thomas Page,DRT (A Ghost Story),"Eric Thomas lives in Royal Oak, Michigan with his dog and cat.",9.99
313467,Books|Science Fiction & Fantasy|Fantasy,Visit Amazon's Marva Dasef Page,Midnight Oil: Book 2: Witches of Galdorheim (Volume 2),"<span>Midnight Oil is the second book in the Witches of Galdorheim series. All three books are offered in ebook and print.</span><div><br><div></div><div>I hope readers will enjoy meeting Kat the klutzy teen witch, her smart-aleck brother Rune, Mordita the Sorceress, and the other witches on Galdorheim Island. In Kat's adventures, she'll meet legendary creatures presented with my own humorous twist. Trolls, giants, werewolves, the Loch Ness monster, and more occupy the pages of Midnight Oil and books 1 and 3, Bad Spelling and Scotch Broom.</div></div>",7.99
313500,Books|Romance|Contemporary,Visit Amazon's Nicole Deese Page,All For Anna (Letting Go),"Books have been a passion of mine for as long as I can remember. As a young girl, my favorite pastime was playing library. This entailed loading every book I owned into my Radio Flier wagon and trekking to the neighborhood park. Once there, I would carefully place each masterpiece onto a blanket. When my friends wanted to check-out a book, I would first tell them the synopsis of each story and why I loved it. Not much has changed since then. I am obsessed with the art of what makes a great story, great. I can and have talked for hours about the fictional characters, scenarios and plots found within the pages of my favorite books. However, at the age of 30, I decided it was time to share my own world of make-believe. I wrote my first novel, All for Anna, soon after that. I have been a wife to my hunk-of-a husband, Tim, for nine years, and a mother to my two crazy boys (Preston, 7 and Lincoln, 4). I am a cherished daughter, an advice-giving big sister, and a very grateful friend. But first and foremost, I am a picture of redemption: a life transformed by grace. Though I no longer pull a red wagon, my stockpile of books has grown exponentially. I am never far from my next read. And yes, I still push them on my friends (along with my commentary). Old habits die hard. Thank you for reading a piece of my world, and for sharing in a piece of my heart.",10.99
313579,Books|Science Fiction &amp; Fantasy|Science Fiction,Visit Amazon's Doug Dandridge Page,Exodus: Empires at War: Book 2 (Volume 2),"Doug Dandridge was born in Venice Florida in 1957, the son of a Florida native and a Mother of French Canadian descent. An avid reader from an early age, Doug has read most of the classic novels and shorts of Science Fiction and Fantasy, as well as multiple hundreds of historical works. Doug has military experience including Marine Corps JROTC, Active Duty Army, and the Florida National Guard. He attended Florida State University, studying Biology, Geology, Physics, and Chemistry, and receiving a BS in Psychology. Doug then studied Clinical Psychology at the University of Alabama, with specific interests in Neuropsychology and Child Psychology, completing a Masters and all course work required for a PhD. He has worked in Psychiatric Hospitals, Mental Health Centers, a Prison, a Juvenile Residential Facility, and for the past five years for the Florida Department of Children and Families. Doug has been writing on and off for fifteen years. He concentrates on intelligent science fiction and fantasy in which there is always hope, no matter how hard the situation. No area of the fantastic is outside his scope, as he has completed works in near and far future Science Fiction, Urban and High Fantasy, Horror, and Alternate History.",15.0
313591,Books|Literature &amp; Fiction|Genre Fiction,Visit Amazon's Amanda M. Lee Page,Any Witch Way You Can (A Wicked Witches of the Midwest Mystery),"When I was a kid, I was torn between whether or not I was going to grow up and be the Incredible Hulk or Wonder Woman. I flirted with being a Jedi Knight for awhile, but I wasn't up for the intense travel associated with the gig. In my teens, I settled on being a writer -- although I had no idea the effort that would entail. Not only am I a writer now, but I'm a writer in several different mediums. I'm a longtime newspaper reporter, an avid reader and a voracious science fiction fanatic. Like me on Facebook at https://www.facebook.com/AuthorAmandaMLee . Follow me on Twitter at @yodaoneforme.",13.99
